latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,17339.74609,0.26817,3.69767,-0.06864
32.76018,-97.60131,17339.58984,0.26817,3.57267,-0.11288
32.76021,-97.56938,17336.43359,0.26817,3.26017,-0.11281
32.76022,-97.53746,17334.58984,-0.04433,2.76017,-0.13493
32.76023,-97.50554,17330.02734,-0.48183,2.32267,-0.22336
32.76023,-97.47361,17330.49609,-0.73183,1.88517,-0.33365
32.76021,-97.44169,17328.30859,-0.73183,1.69767,-0.44374
32.76019,-97.40976,17325.96484,-0.54433,1.76017,-0.50951
32.76016,-97.37784,17325.74609,-0.35683,1.88517,-0.57516
32.76012,-97.34591,17326.99609,-0.10683,1.94767,-0.59665
32.76007,-97.31399,17333.21484,0.33067,1.94767,-0.61848
32.76001,-97.28206,17339.21484,0.89317,2.01017,-0.55295
32.75994,-97.25014,17343.05859,1.39317,2.19767,-0.50981
32.75987,-97.21821,17349.40234,1.83067,2.63517,-0.42242
32.75978,-97.18629,17357.27734,2.01817,3.32267,-0.31259
32.75968,-97.15437,17357.71484,1.83067,4.26017,-0.24667
32.75958,-97.12244,17353.24609,1.39317,5.32267,-0.22471
32.75946,-97.09052,17345.71484,0.76817,6.07267,-0.18021
32.75934,-97.05859,17340.24609,0.20567,6.32267,-0.15777
32.75921,-97.02667,17338.58984,-0.23183,6.19767,-0.17972
32.75906,-96.99475,17334.30859,-0.48183,5.94767,-0.26816
32.75891,-96.96282,17334.83984,-0.41933,5.63517,-0.24563
32.75875,-96.9309,17339.99609,0.14317,5.38517,-0.0243
32.75858,-96.89897,17345.40234,0.89317,5.26017,0.15259
32.787,-97.63328,17344.99609,0.45567,2.82267,-0.37853
32.78703,-97.60134,17336.30859,0.39317,2.76017,-0.28998
32.78705,-97.56941,17335.12109,0.14317,2.63517,-0.15706
32.78707,-97.53747,17331.46484,-0.35683,2.38517,-0.13481
32.78708,-97.50554,17332.93359,-0.73183,2.13517,-0.20094
32.78707,-97.4736,17336.96484,-0.79433,1.94767,-0.26687
32.78706,-97.44167,17334.21484,-0.48183,1.94767,-0.39873
32.78704,-97.40973,17332.37109,-0.10683,2.13517,-0.46441
32.78701,-97.37779,17330.08984,0.14317,2.38517,-0.55195
32.78697,-97.34586,17330.99609,0.45567,2.57267,-0.59539
32.78692,-97.31392,17334.71484,0.89317,2.57267,-0.55128
32.78686,-97.28199,17341.65234,1.33067,2.44767,-0.48568
32.78679,-97.25005,17351.18359,1.89317,2.38517,-0.48656
32.78671,-97.21812,17363.52734,2.39317,2.44767,-0.44347
32.78663,-97.18618,17365.37109,2.64317,2.76017,-0.44481
