latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,941.46289,3.34269,4.30334,0.02738
32.76018,-97.60131,918.30664,4.15519,5.74084,-0.49303
32.76021,-97.56938,904.36914,2.65519,6.24084,0.90383
32.76022,-97.53746,891.77539,-2.21981,6.24084,1.29718
32.76023,-97.50554,873.46289,-5.53231,4.67834,-0.12239
32.76023,-97.47361,848.43164,-5.21981,2.24084,-0.67287
32.76021,-97.44169,824.71289,-6.03231,3.80334,0.71426
32.76019,-97.40976,812.52539,-9.65731,8.24084,0.79534
32.76016,-97.37784,811.96289,-10.71981,11.05334,-0.17042
32.76012,-97.34591,808.65039,-9.53231,11.36584,-0.21012
32.76007,-97.31399,802.77539,-9.65731,11.17834,0.35599
32.76001,-97.28206,803.21289,-11.34481,9.55334,0.10754
32.75994,-97.25014,816.86914,-12.46981,6.86584,-0.66144
32.75987,-97.21821,823.74414,-11.40731,5.92834,-0.76157
32.75978,-97.18629,812.18164,-10.34481,6.86584,0.52631
32.75968,-97.15437,795.02539,-12.21981,7.67834,1.29558
32.75958,-97.12244,813.49414,-15.71981,8.67834,1.25509
32.75946,-97.09052,811.90039,-18.21981,9.80334,0.98782
32.75934,-97.05859,801.61914,-19.15731,10.80334,0.74988
32.75921,-97.02667,789.46289,-19.53231,11.49084,0.66654
32.75906,-96.99475,780.27539,-19.78231,12.24084,0.50593
32.75891,-96.96282,777.30664,-19.96981,12.80334,0.23367
32.75875,-96.9309,775.36914,-20.15731,12.67834,-0.1447
32.75858,-96.89897,795.11914,-20.40731,12.17834,-0.27942
32.787,-97.63328,948.30664,4.21769,5.05334,-1.00222
32.78703,-97.60134,931.02539,5.03019,6.42834,-0.03887
32.78705,-97.56941,914.80664,1.46769,6.11584,1.16723
32.78707,-97.53747,882.86914,-3.96981,6.05334,1.13715
32.78708,-97.50554,847.30664,-6.46981,5.24084,-0.54583
32.78707,-97.4736,830.36914,-4.28231,3.17834,-1.46306
32.78706,-97.44167,822.74414,-3.65731,4.49084,0.53093
32.78704,-97.40973,832.61914,-7.59481,7.92834,0.91822
32.78701,-97.37779,829.55664,-9.65731,10.17834,-0.13306
32.78697,-97.34586,809.40039,-9.40731,10.17834,-0.02713
32.78692,-97.31392,815.96289,-10.59481,10.17834,0.7849
32.78686,-97.28199,802.80664,-12.90731,9.55334,0.69992
32.78679,-97.25005,793.24414,-13.40731,7.55334,-0.25625
32.78671,-97.21812,793.46289,-12.15731,5.42834,-0.20119
32.78663,-97.18618,790.05664,-12.28231,4.67834,1.07336
32.78653,-97.15425,781.99414,-14.96981,4.92834,1.58219
32.78642,-97.12231,787.49414,-17.71981,5.61584,0.94242
32.78631,-97.09037,787.86914,-18.71981,6.86584,0.42781
32.78619,-97.05844,792.52539,-18.59481,8.24084,0.23906
32.78605,-97.0265,778.15039,-18.40731,9.42834,0.30153
32.78591,-96.99457,775.08789,-18.59481,10.67834,0.49615
32.78576,-96.96264,774.61914,-19.15731,11.49084,0.72572
32.7856,-96.9307,770.71289,-19.78231,11.42834,0.58581
32.78543,-96.89877,768.77539,-20.34481,10.74084,0.2733
32.81384,-97.63333,932.86914,5.15519,6.92834,-0.65952
32.81388,-97.60138,908.24414,3.28019,6.61584,0.90584
32.8139,-97.56943,873.52539,-1.34481,5.80334,1.30942
32.81392,-97.53749,850.55664,-5.84481,5.92834,0.83552
32.81392,-97.50554,837.49414,-6.59481,5.92834,-1.13494
32.81392,-97.47359,824.74414,-3.21981,4.67834,-1.50064
32.81391,-97.44165,843.90039,-2.65731,5.42834,0.72861
32.81389,-97.4097,860.24414,-6.46981,7.49084,1.16051
32.81386,-97.37775,837.30664,-9.21981,9.42834,0.44489
32.81382,-97.3458,832.21289,-10.28231,9.11584,0.59376
32.81377,-97.31386,821.05664,-12.28231,8.24084,1.29283
32.81371,-97.28191,815.30664,-14.84481,7.80334,1.19771
32.81364,-97.24996,805.33789,-15.65731,6.55334,0.33424
32.81356,-97.21802,805.74414,-15.03231,4.36584,0.06442
32.81348,-97.18607,799.96289,-15.65731,3.11584,0.65126
32.81338,-97.15413,797.86914,-17.46981,3.42834,0.50011
32.81327,-97.12218,798.71289,-18.15731,4.36584,-0.12758
32.81316,-97.09023,789.05664,-17.65731,5.61584,-0.13302
32.81303,-97.05829,787.65039,-17.09481,6.99084,0.02998
32.8129,-97.02634,786.77539,-16.96981,8.05334,0.26716
32.81276,-96.99439,790.08789,-17.59481,9.11584,0.61376
32.81261,-96.96245,788.49414,-18.71981,10.05334,0.8298
32.81244,-96.9305,784.61914,-19.78231,10.55334,0.74468
32.81227,-96.89856,768.11914,-20.59481,10.17834,0.46928
32.84069,-97.63337,898.40039,3.90519,7.36584,0.93549
32.84073,-97.60141,877.90039,-0.53231,5.80334,1.41425
32.84075,-97.56946,873.83789,-4.28231,5.49084,0.95838
32.84077,-97.5375,867.24414,-6.59481,6.30334,0.25498
32.84077,-97.50554,843.65039,-5.96981,6.80334,-1.21893
32.84077,-97.47358,828.71289,-3.46981,5.36584,-0.82489
32.84076,-97.44163,856.05664,-3.90731,5.17834,0.88732
32.84074,-97.40967,859.90039,-7.34481,6.36584,1.44206
32.84071,-97.37771,854.15039,-10.46981,7.67834,1.09164
32.84067,-97.34575,842.40039,-12.65731,6.92834,1.09494
32.84062,-97.31379,828.80664,-14.84481,5.80334,1.30206
32.84056,-97.28184,820.58789,-16.90731,5.36584,1.00877
32.84049,-97.24988,820.90039,-17.40731,4.86584,0.17424
32.84041,-97.21792,821.18164,-16.84481,3.67834,-0.04171
32.84032,-97.18596,820.83789,-16.96981,3.36584,0.06752
32.84023,-97.15401,819.65039,-17.40731,4.49084,-0.33213
32.84012,-97.12205,814.55664,-16.96981,5.49084,-0.55794
32.84001,-97.09009,814.46289,-16.40731,5.92834,-0.14187
32.83988,-97.05813,799.24414,-16.15731,6.24084,0.18726
32.83975,-97.02618,796.24414,-16.28231,6.74084,0.38738
32.83961,-96.99422,805.65039,-17.09481,7.55334,0.49415
32.83946,-96.96226,800.90039,-18.21981,8.61584,0.70423
32.83929,-96.93031,788.71289,-19.65731,9.67834,0.88572
32.83912,-96.89835,771.24414,-21.03231,9.92834,0.78938
