latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,22292.46094,-4.55983,3.2364,-0.16564
32.76018,-97.60131,22293.42969,-4.93483,3.6114,0.03954
32.76021,-97.56938,22289.52344,-5.62233,3.7364,0.09071
32.76022,-97.53746,22286.77344,-6.43483,3.6114,0.09051
32.76023,-97.50554,22283.17969,-7.05983,3.4239,0.03925
32.76023,-97.47361,22286.27344,-7.18483,3.3614,0.03913
32.76021,-97.44169,22287.02344,-6.80983,3.2989,0.19095
32.76019,-97.40976,22286.08594,-6.18483,3.2989,0.24124
32.76016,-97.37784,22285.14844,-5.55983,3.2364,0.08948
32.76012,-97.34591,22284.11719,-4.99733,3.0489,-0.16316
32.76007,-97.31399,22287.74219,-4.37233,2.7364,-0.31482
32.76001,-97.28206,22290.99219,-3.68483,2.2989,-0.36557
32.75994,-97.25014,22292.42969,-3.05983,1.7989,-0.36579
32.75987,-97.21821,22296.49219,-2.62233,1.3614,-0.36611
32.75978,-97.18629,22302.77344,-2.49733,1.0489,-0.31584
32.75968,-97.15437,22302.24219,-2.55983,0.7364,-0.26552
32.75958,-97.12244,22296.80469,-2.68483,0.6114,-0.16411
32.75946,-97.09052,22289.14844,-2.74733,0.6114,-0.06257
32.75934,-97.05859,22284.42969,-2.74733,0.7989,0.0393
32.75921,-97.02667,22282.86719,-2.93483,1.1739,-0.01172
32.75906,-96.99475,22277.33594,-3.49733,1.6739,-0.11415
32.75891,-96.96282,22274.33594,-4.49733,2.0489,-0.21669
32.75875,-96.9309,22274.30469,-5.62233,2.1739,-0.26776
32.75858,-96.89897,22275.11719,-6.37233,1.9864,-0.31851
32.787,-97.63328,22298.55469,-3.99733,2.9239,0.03953
32.78703,-97.60134,22290.14844,-4.62233,3.3614,0.19368
32.78705,-97.56941,22288.49219,-5.49733,3.5489,0.24484
32.78707,-97.53747,22285.55469,-6.43483,3.7364,0.24427
32.78708,-97.50554,22288.99219,-7.12233,3.8614,0.19246
32.78707,-97.4736,22295.55469,-7.24733,3.9864,0.24272
32.78706,-97.44167,22294.96094,-6.87233,4.1739,0.39432
32.78704,-97.40973,22293.42969,-6.30983,4.2989,0.34298
32.78701,-97.37779,22289.33594,-5.80983,4.2989,0.08959
32.78697,-97.34586,22287.46094,-5.37233,4.1114,-0.21381
32.78692,-97.31392,22288.77344,-4.87233,3.7989,-0.36525
32.78686,-97.28199,22294.02344,-4.30983,3.2989,-0.31455
32.78679,-97.25005,22302.36719,-3.62233,2.7364,-0.16302
32.78671,-97.21812,22313.21094,-3.05983,2.1114,-0.01159
32.78663,-97.18618,22313.71094,-2.80983,1.6114,0.08956
32.78653,-97.15425,22303.39844,-2.74733,1.1739,0.03906
32.78642,-97.12231,22296.99219,-2.74733,0.9239,-0.06242
32.78631,-97.09037,22291.42969,-2.62233,0.8614,-0.01167
32.78619,-97.05844,22285.83594,-2.43483,0.9864,0.09027
32.78605,-97.0265,22282.67969,-2.55983,1.1114,0.0394
32.78591,-96.99457,22279.61719,-3.24733,1.3614,-0.11419
32.78576,-96.96264,22275.21094,-4.30983,1.6739,-0.268
32.7856,-96.9307,22271.24219,-5.55983,1.7989,-0.37017
32.78543,-96.89877,22269.61719,-6.49733,1.7364,-0.36953
32.81384,-97.63333,22288.77344,-3.74733,2.7364,0.29599
32.81388,-97.60138,22288.39844,-4.37233,2.9239,0.34798
32.8139,-97.56943,22285.64844,-5.24733,3.1739,0.39938
32.81392,-97.53749,22287.17969,-6.18483,3.4864,0.29608
32.81392,-97.50554,22293.58594,-6.87233,3.9239,0.24406
32.81392,-97.47359,22295.64844,-7.05983,4.2989,0.29428
32.81391,-97.44165,22295.36719,-6.74733,4.5489,0.44611
32.81389,-97.4097,22294.24219,-6.24733,4.7364,0.34378
32.81386,-97.37775,22291.33594,-5.87233,4.9239,0.08977
32.81382,-97.3458,22289.27344,-5.55983,5.0489,-0.06226
32.81377,-97.31386,22290.21094,-5.18483,4.9864,-0.11277
32.81371,-97.28191,22295.89844,-4.80983,4.6739,-0.01159
32.81364,-97.24996,22301.49219,-4.30983,4.0489,0.19039
32.81356,-97.21802,22310.49219,-3.74733,3.2364,0.29138
32.81348,-97.18607,22307.92969,-3.37233,2.3614,0.2411
32.81338,-97.15413,22302.14844,-3.12233,1.6739,0.08964
32.81327,-97.12218,22299.21094,-2.87233,1.2989,-0.06237
32.81316,-97.09023,22293.30469,-2.55983,1.1114,-0.01166
32.81303,-97.05829,22288.46094,-2.30983,1.0489,-0.01169
32.8129,-97.02634,22284.36719,-2.43483,0.9864,-0.11399
32.81276,-96.99439,22281.77344,-3.05983,1.0489,-0.1654
32.81261,-96.96245,22277.55469,-4.18483,1.2364,-0.21675
32.81244,-96.9305,22269.17969,-5.49733,1.3614,-0.26769
32.81227,-96.89856,22264.42969,-6.55983,1.2989,-0.36942
32.84069,-97.63337,22290.27344,-3.80983,2.4239,0.34758
32.84073,-97.60141,22285.11719,-4.30983,2.4239,0.24526
32.84075,-97.56946,22284.17969,-4.99733,2.6114,0.19385
32.84077,-97.5375,22288.49219,-5.74733,3.0489,0.14232
32.84077,-97.50554,22291.71094,-6.43483,3.6739,0.19335
32.84077,-97.47358,22296.08594,-6.74733,4.2364,0.34618
32.84076,-97.44163,22292.49219,-6.55983,4.4864,0.49856
32.84074,-97.40967,22290.92969,-6.12233,4.7364,0.44675
32.84071,-97.37771,22290.74219,-5.68483,5.2364,0.29351
32.84067,-97.34575,22290.02344,-5.37233,5.7364,0.24244
32.84062,-97.31379,22289.05469,-5.24733,5.9239,0.24223
32.84056,-97.28184,22291.08594,-5.12233,5.7989,0.29275
32.84049,-97.24988,22294.27344,-4.99733,5.2364,0.29232
32.84041,-97.21792,22295.42969,-4.74733,4.3614,0.39306
32.84032,-97.18596,22298.08594,-4.30983,3.3614,0.44338
32.84023,-97.15401,22303.30469,-3.80983,2.4239,0.49437
32.84012,-97.12205,22304.11719,-3.24733,1.7989,0.39398
32.84001,-97.09009,22304.55469,-2.68483,1.3614,0.14088
32.83988,-97.05813,22298.67969,-2.37233,0.9864,-0.16464
32.83975,-97.02618,22286.77344,-2.49733,0.6114,-0.31823
32.83961,-96.99422,22281.96094,-2.99733,0.5489,-0.16526
32.83946,-96.96226,22277.55469,-4.12233,0.6739,-0.11419
32.83929,-96.93031,22268.39844,-5.43483,0.7989,-0.2165
32.83912,-96.89835,22262.27344,-6.55983,0.8614,-0.26715
32.86754,-97.63342,22288.11719,-3.80983,1.7364,0.03961
32.86758,-97.60145,22280.55469,-4.24733,1.8614,-0.11461
32.8676,-97.56948,22282.46094,-4.68483,2.1114,-0.16598
32.86762,-97.53751,22286.96094,-5.18483,2.6114,-0.01179
32.86763,-97.50554,22290.99219,-5.80983,3.1739,0.09092
